"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-09","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","372.9","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","385.9","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","1002.6","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","1032.8","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","1024.1","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","968.0","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","987.4","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1200.1","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1216.5","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1213.1","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1206.2","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1205.3","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1304.3","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1319.9","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1325.1","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1332.7","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1318.3","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1252.6","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1250.3","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1283.5","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1291.0","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1296.0","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1202.6","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1201.8","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1194.1","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1215.4","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","40 to 44 years","Persons","249","thousands","3","v2091295","1.3.2.14","1212.8","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","1039.8","","","","1"
"2024-07","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","1033.4","","","","1"
"2024-08","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","1036.1","","","","1"
"2024-09","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","1038.5","","","","1"
"2024-10","Canada","2016A000011124","Employment","Males","45 to 49 years","Persons","249","thousands","3","v2091296","1.3.2.15","1035.6","","","","1"
"2024-06","Canada","2016A000011124","Employment","Males","50 to 54 years","Persons","249","thousands","3","v2091297","1.3.2.16","1049.1","","","","1"
